YEAR & N0.,CONTRACT LIST FOR 2010 DESCRIPTION,CONTRACTOR,,,,,,
2010 NO BID #,POINT OF DISPENSING SITES-PODS,ACCU-LOGISTICS LLC,,,,,,
2010 NO BID #,QUANTIFERON TB GOLD HA TUBES,CELLESTIS INC,,,,,,
2010 NO BID #,ACCELA CONCURRENT USE LICENSE,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC (ERSI),,,,,,
2010 NO BID #,EROUTE LOGISTICS SOFTWARE ANNUAL MAINTENANCE AND SUPPORT- PERIOD:04-1-2010 TO 03-31-2011,INSTITUTE OF INFORMATION TECHNOLOGY INC,,,,,,
2010 NO BID #,PHOTOMETER CALIBRATOR,TANABYTE ENGINEERING INC,,,,,,
2010 NO BID #,CARBON MONOXIDE ANALYZER,TELEDYNE ADVANCED POLLUTION INSTRUMENTATION INC,,,,,,
2010-001,FBO RAMP & TOWER AREA PAVEMENT IMPROVEMENTS,"J.A.R. CONSTRUCTION, INC.",,,,,,
2010-003,VEHICLES - POLICE DEPARTMENT,CASA FORD  ,,,,,,
2010-004,JANITORIAL SERVICES - VETERAN'S (NORTHEAST) RECREATION CENTER,CAREFREE JANITORIAL SERVICES,,,,,,
2010-006,POLICE UNIFORMS,"V1-UNIFORMS OF TEXAS, V2-UNIFORMS OF TEXAS ALTERNATE  #1 (ASSIGNED TO PREMIER UNIFORMS )",,,,,,
2010-007,STRESS MANAGEMENT SERVICES ,AWARD DELETED BY COUNCIL,,,,,,
2010-008,SCRAP METAL RECYCLING SERVICES,"LUCERO SCRAP, LLC",,,,,,
2010-009,RENTAL OF PORTABLE RESTROOMS,"HOT PROPERTIES, INC. dba SARABIA'S PORTABLE JONS & BLUE SANITATION",,,,,,
2010-010,UNPAVED RIGHTS OF WAY PHASE III,"ZTEX CONSTRUCTION, INC.",,,,,,
2010-011,"EMERGENCY LIGHTING, WARNING AND COMMUNICATION MOUNTING EQUIPMENT AND INSTALLATION","ALAMO INDUSTRIES, INC.            dba ALAMO AUTO SUPPLY",,,,,,
2010-012,BUS RADIATOR AND AIR CHARGE COOLER SERVICES,"EMMET RADIATOR SERVICE, INC.",,,,,,
2010-015,BODY ARMOR,UNIFORMS OF TEXAS,,,,,,
2010-017,AVIATION FUEL,CUTTER AVIATION,,,,,,
2010-020,BUILDING SPACE RENTAL - NORTH/CENTRAL WIC CLINIC,ROBERT MALOOLY,,,,,,
2010-021,STERLING TRUCKS PROPRIETARY PARTS,SOUTHWEST STERLING INC. dba SOUTHWEST TRUCK SALES,,,,,,
2010-022,TENNANT PROPRIETARY PARTS,TENNANT SALES AND SERVICE COMPANY,,,,,,
2010-023,POOL CHEMICALS,"VENDOR 1:  BARON CHEMICAL CO., INC.; VENDOR 2: MAYFIELD POOL SUPPLY; VENDOR 3: TRIPLE S JANITORIAL SUPPLIES",,,,,,
2010-024,CRACK SEALER / MELTER APPLICATOR,CIMLINE INC.,,,,,,
2010-025,VACUUM RIDER SWEEPERS,NILFISK-ADVANCE INC.,,,,,,
2010-026,TRANE HVAC SYSTEMS PROPRIETARY PARTS AND SERVICE,"TRANE US, INC.",,,,,,
2010-027,TRAFFIC CABINETS,TRAFFIC CABINETS,,,,,,
2010-029,CNG OPTION BUSES,"NORTH AMERICAN BUS INDUSTRIES, INC. (NABI)",,,,,,
2010-030,FRONT LOADER,"SIERRA MACHINERY, INC.",,,,,,
2010-031,GRAFFITI REMOVAL TRUCK,"CASA FORD, INC.",,,,,,
2010-032,eCIVIS GRANTS RESEARCH AND GRANTS TRACKING AND REPORTING SOFTWARE,"eCIVIS, INC.",,,,,,
2010-033,TRAFFIC SIGNAL CABLES,PAIGE ELECTRIC CO.,,,,,,
2010-034,ELEVATOR MAINTENANCE,"KONE, INC.",,,,,,
2010-035,PROFESSIONAL EXTERIOR WINDOW WASHING,INTERNATIONAL BUILDING SERVICES,,,,,,
2010-036,GROUNDS MAINTENANCE - CITY MEDIANS,"VENDOR 1: DELTA UNLIMITED, INC.; VENDOR 2: RANSOM LAWN SERVICE, INC.",,,,,,
2010-037,ORACLE SOFTWARE COMPONENTS INCLUDING PEOPLESOFT ERP SERVICES AND UNIVERSAL CONTENT MANAGEMENT,ORACLE USA INC.,,,,,,
2010-038,UNIFORMS ,BAZAAR UNIFORMS,,,,,,
2010-039,SOFTWARE COMPONENTS,TIBURON SOFTWARE,,,,,,
